stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
17000,,Madrid-ChamartÃ­n-Clara Campoamor,,40.4711789,-3.6829524,,,,,Europe/Madrid,1
37606,,Badajoz,,38.890696,-6.981753,,,,,Europe/Madrid,1
37603,,Montijo,,38.913539,-6.598577,,,,,Europe/Madrid,2
37500,,MÃ©rida,,38.921503,-6.343794,,,,,Europe/Madrid,1
35400,,CÃ¡ceres,,39.461131,-6.385679,,,,,Europe/Madrid,1
30000,,MonfragÃ¼e,,39.937464,-6.10091,,,,,Europe/Madrid,2
35206,,Navalmoral de la Mata,,39.894913,-5.545607,,,,,Europe/Madrid,2
35203,,Oropesa de Toledo,,39.921746,-5.186137,,,,,Europe/Madrid,2
35200,,Talavera de la Reina,,39.970674,-4.826512,,,,,Europe/Madrid,2
35105,,Torrijos,,39.979003,-4.283037,,,,,Europe/Madrid,2
18000,,Madrid-Atocha CercanÃ­as,,40.4066191,-3.6894391,,,,,Europe/Madrid,1
35001,,LeganÃ©s,,40.328643,-3.7713161,,,,,Europe/Madrid,2
30002,,Plasencia,,40.022282,-6.099397,,,,,Europe/Madrid,2
56312,,AlmerÃ­a,,36.834951,-2.455519,,,,,Europe/Madrid,1
56310,,Huercal-Viator,,36.885155,-2.436718,,,,,Europe/Madrid,2
56200,,Guadix,,37.316873,-3.127209,,,,,Europe/Madrid,2
56100,,Moreda,,37.431216,-3.310516,,,,,Europe/Madrid,2
56009,,Cabra del Santo Cristo y AlicÃºn,,37.6567129,-3.262623,,,,,Europe/Madrid,2
56004,,JÃ³dar-Ãbeda,,37.913343,-3.34892,,,,,Europe/Madrid,2
50300,,Linares-Baeza,,38.068864,-3.589396,,,,,Europe/Madrid,1
50207,,Vilches,,38.215742,-3.517576,,,,,Europe/Madrid,2
60400,,AlcÃ¡zar de San Juan,,39.395628,-3.205744,,,,,Europe/Madrid,1
11200,,Miranda de Ebro,,42.691024,-2.940366,,,,,Europe/Madrid,1
13200,,Bilbao-Intermod. Abando Indalecio Prieto,,43.2601304,-2.9285592,,,,,Europe/Madrid,1
13106,,Llodio,,43.1423514,-2.9606511,,,,,Europe/Madrid,2
11511,,San SebastiÃ¡n-Donostia,,43.3176961,-1.9767172,,,,,Europe/Madrid,1
11208,,Vitoria-Gasteiz,,42.841517,-2.672601,,,,,Europe/Madrid,1
